assertion_id,feature_id,feature_name,specification,layer,kind,surface_id,surface_name,product,vendor,surface_type,execution,status,maturity,qualifier,evidence_type,source_ids,observed_at_utc,confidence,verified_runtime
A-0049,mcp.tasks,MCP tasks,MCP,protocol,utility,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0050,mcp.stdio,MCP stdio transport,MCP,transport,transport,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,y,ga,Documented support.,documented,S-098,2026-08-28T19:30Z,high,no
A-0051,mcp.streamable-http,MCP Streamable HTTP transport,MCP,transport,transport,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,y,ga,Documented support.,documented,S-098,2026-08-28T19:30Z,high,no
A-0052,mcp.sse-legacy,MCP legacy HTTP+SSE transport,MCP,transport,transport,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0053,mcp.oauth,MCP OAuth authorization,MCP,security,auth,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0054,mcp.tools-list-changed,MCP tools/list_changed notification,MCP,protocol,notification,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0055,mcp.apps,MCP Apps interactive UI,MCP Apps,ui,extension,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0056,skills.discovery,Agent Skills discovery,Agent Skills,skills,discovery,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,y,ga,Documented support.,documented,S-099,2026-08-28T19:30Z,high,no
A-0057,skills.progressive,Agent Skills progressive disclosure,Agent Skills,skills,loading,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,y,ga,Documented support.,documented,S-099,2026-08-28T19:30Z,high,no
A-0058,skills.scripts,Agent Skills scripts,Agent Skills,skills,component,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,y,ga,Documented support.,documented,S-099,2026-08-28T19:30Z,high,no
A-0059,skills.references-assets,Agent Skills references/assets,Agent Skills,skills,component,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,y,ga,Documented support.,documented,S-099,2026-08-28T19:30Z,high,no
A-0060,skills.manual-invoke,Agent Skills explicit/manual invocation,Agent Skills,skills,activation,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0061,skills.project-scope,Project-scoped Agent Skills,Agent Skills,skills,scope,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0062,skills.user-scope,User/global Agent Skills,Agent Skills,skills,scope,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0063,plugins.v1,Agent Plugins v1 plugin.json,Agent Plugins,packaging,manifest,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0064,plugins.skills,Agent Plugins skills component,Agent Plugins,packaging,component,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0065,plugins.mcp,Agent Plugins mcp.json component,Agent Plugins,packaging,component,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0066,plugins.marketplace,Plugin marketplace/install flow,Packaging,distribution,marketplace,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0067,plugins.vendor-ext,Vendor-specific plugin extensions,Packaging,distribution,extension,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0068,instructions.agents-md,AGENTS.md root instructions,AGENTS.md,instructions,file,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0069,instructions.agents-md-nested,Nested AGENTS.md instructions,AGENTS.md,instructions,file,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0070,instructions.claude-md,CLAUDE.md compatibility,Vendor convention,instructions,file,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0071,instructions.vendor-rules,Vendor-native rules/instructions,Vendor convention,instructions,rules,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0072,hooks,Lifecycle hooks,Vendor convention,automation,hooks,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0073,subagents,Subagents,Vendor convention,agents,composition,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0074,custom-agents,Custom agent definitions,Vendor convention,agents,composition,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0075,permissions,Granular agent/tool permissions,Vendor convention,security,permissions,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0076,headless,Headless/non-interactive agent mode,Vendor convention,runtime,execution,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0077,acp.client,ACP client/editor role,ACP,interoperability,client,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0078,acp.agent,ACP agent/server role,ACP,interoperability,agent,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0079,ahp.client,AHP client role,AHP,interoperability,client,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0080,ahp.host,AHP host role,AHP,interoperability,host,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0081,a2a,A2A protocol endpoint/client,A2A,interoperability,agent-agent,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0082,ag-ui,AG-UI frontend/runtime bridge,AG-UI,interoperability,agent-ui,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0083,webmcp,WebMCP site tools,WebMCP,web,browser,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0084,nlweb,NLWeb/MCP website interaction,NLWeb,web,semantic-web,claude-desktop,Claude Desktop,Claude,Anthropic,desktop,local,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-098,2026-08-28T19:30Z,low,no
A-0085,mcp.tools,MCP tools,MCP,protocol,server-feature,claude-web,claude.ai,Claude,Anthropic,web,hosted,y,ga,Documented support.,documented,S-098,2026-08-28T19:30Z,high,no
A-0086,mcp.resources,MCP resources,MCP,protocol,server-feature,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0087,mcp.prompts,MCP prompts,MCP,protocol,server-feature,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0088,mcp.sampling,MCP sampling,MCP,protocol,client-feature,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0089,mcp.elicitation,MCP elicitation,MCP,protocol,client-feature,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0090,mcp.roots,MCP roots,MCP,protocol,client-feature,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0091,mcp.tasks,MCP tasks,MCP,protocol,utility,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0092,mcp.stdio,MCP stdio transport,MCP,transport,transport,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0093,mcp.streamable-http,MCP Streamable HTTP transport,MCP,transport,transport,claude-web,claude.ai,Claude,Anthropic,web,hosted,y,ga,Documented support.,documented,S-098,2026-08-28T19:30Z,high,no
A-0094,mcp.sse-legacy,MCP legacy HTTP+SSE transport,MCP,transport,transport,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0095,mcp.oauth,MCP OAuth authorization,MCP,security,auth,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0096,mcp.tools-list-changed,MCP tools/list_changed notification,MCP,protocol,notification,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0097,mcp.apps,MCP Apps interactive UI,MCP Apps,ui,extension,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0098,skills.discovery,Agent Skills discovery,Agent Skills,skills,discovery,claude-web,claude.ai,Claude,Anthropic,web,hosted,y,ga,Documented support.,documented,S-099,2026-08-28T19:30Z,high,no
A-0099,skills.progressive,Agent Skills progressive disclosure,Agent Skills,skills,loading,claude-web,claude.ai,Claude,Anthropic,web,hosted,y,ga,Documented support.,documented,S-099,2026-08-28T19:30Z,high,no
A-0100,skills.scripts,Agent Skills scripts,Agent Skills,skills,component,claude-web,claude.ai,Claude,Anthropic,web,hosted,y,ga,Documented support.,documented,S-099,2026-08-28T19:30Z,high,no
A-0101,skills.references-assets,Agent Skills references/assets,Agent Skills,skills,component,claude-web,claude.ai,Claude,Anthropic,web,hosted,y,ga,Documented support.,documented,S-099,2026-08-28T19:30Z,high,no
A-0102,skills.manual-invoke,Agent Skills explicit/manual invocation,Agent Skills,skills,activation,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0103,skills.project-scope,Project-scoped Agent Skills,Agent Skills,skills,scope,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0104,skills.user-scope,User/global Agent Skills,Agent Skills,skills,scope,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0105,plugins.v1,Agent Plugins v1 plugin.json,Agent Plugins,packaging,manifest,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0106,plugins.skills,Agent Plugins skills component,Agent Plugins,packaging,component,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0107,plugins.mcp,Agent Plugins mcp.json component,Agent Plugins,packaging,component,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0108,plugins.marketplace,Plugin marketplace/install flow,Packaging,distribution,marketplace,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0109,plugins.vendor-ext,Vendor-specific plugin extensions,Packaging,distribution,extension,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0110,instructions.agents-md,AGENTS.md root instructions,AGENTS.md,instructions,file,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0111,instructions.agents-md-nested,Nested AGENTS.md instructions,AGENTS.md,instructions,file,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0112,instructions.claude-md,CLAUDE.md compatibility,Vendor convention,instructions,file,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0113,instructions.vendor-rules,Vendor-native rules/instructions,Vendor convention,instructions,rules,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0114,hooks,Lifecycle hooks,Vendor convention,automation,hooks,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0115,subagents,Subagents,Vendor convention,agents,composition,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0116,custom-agents,Custom agent definitions,Vendor convention,agents,composition,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0117,permissions,Granular agent/tool permissions,Vendor convention,security,permissions,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0118,headless,Headless/non-interactive agent mode,Vendor convention,runtime,execution,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
A-0119,acp.client,ACP client/editor role,ACP,interoperability,client,claude-web,claude.ai,Claude,Anthropic,web,hosted,u,unknown,No sufficiently specific public evidence captured for this exact surface/capability pair.,not-found,S-099,2026-08-28T19:30Z,low,no
