vendor_name,surface_id,surface_name,feature_id,feature_name,priority,recommended_resolution,notes
OpenAI,chatgpt-desktop,ChatGPT desktop / Codex host,mcp.resources,MCP resources,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-desktop,ChatGPT desktop / Codex host,mcp.prompts,MCP prompts,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-desktop,ChatGPT desktop / Codex host,mcp.roots,MCP roots,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-desktop,ChatGPT desktop / Codex host,mcp.sampling,MCP sampling,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-desktop,ChatGPT desktop / Codex host,mcp.elicitation,MCP elicitation,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-desktop,ChatGPT desktop / Codex host,mcp.tasks,MCP tasks,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-desktop,ChatGPT desktop / Codex host,mcp.apps,MCP Apps / interactive UI,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-desktop,ChatGPT desktop / Codex host,agent-plugins.failure-isolation,Agent Plugins failure isolation,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-desktop,ChatGPT desktop / Codex host,acp.session-load,ACP session load/resume,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-desktop,ChatGPT desktop / Codex host,acp.session-list,ACP session list,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-desktop,ChatGPT desktop / Codex host,acp.terminal-reverse-rpc,ACP terminal reverse RPC,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-desktop,ChatGPT desktop / Codex host,a2a.client,A2A client role,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-desktop,ChatGPT desktop / Codex host,a2a.server,A2A agent/server role,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-mobile,ChatGPT mobile,mcp.revision.2026-07-28,MCP 2026-07-28,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-mobile,ChatGPT mobile,mcp.resources,MCP resources,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-mobile,ChatGPT mobile,mcp.prompts,MCP prompts,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-mobile,ChatGPT mobile,mcp.roots,MCP roots,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-mobile,ChatGPT mobile,mcp.sampling,MCP sampling,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-mobile,ChatGPT mobile,mcp.elicitation,MCP elicitation,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-mobile,ChatGPT mobile,mcp.tasks,MCP tasks,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-mobile,ChatGPT mobile,mcp.apps,MCP Apps / interactive UI,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-mobile,ChatGPT mobile,agent-plugins.failure-isolation,Agent Plugins failure isolation,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-mobile,ChatGPT mobile,acp.session-load,ACP session load/resume,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-mobile,ChatGPT mobile,acp.session-list,ACP session list,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-mobile,ChatGPT mobile,acp.terminal-reverse-rpc,ACP terminal reverse RPC,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-mobile,ChatGPT mobile,a2a.client,A2A client role,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,chatgpt-mobile,ChatGPT mobile,a2a.server,A2A agent/server role,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-cli,Codex CLI,mcp.revision.2026-07-28,MCP 2026-07-28,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-cli,Codex CLI,mcp.resources,MCP resources,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-cli,Codex CLI,mcp.prompts,MCP prompts,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-cli,Codex CLI,mcp.roots,MCP roots,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-cli,Codex CLI,mcp.sampling,MCP sampling,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-cli,Codex CLI,mcp.elicitation,MCP elicitation,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-cli,Codex CLI,mcp.tasks,MCP tasks,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-cli,Codex CLI,mcp.apps,MCP Apps / interactive UI,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-cli,Codex CLI,agent-plugins.failure-isolation,Agent Plugins failure isolation,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-cli,Codex CLI,acp.session-load,ACP session load/resume,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-cli,Codex CLI,acp.session-list,ACP session list,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-cli,Codex CLI,acp.terminal-reverse-rpc,ACP terminal reverse RPC,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-cli,Codex CLI,a2a.client,A2A client role,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-cli,Codex CLI,a2a.server,A2A agent/server role,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-ide,Codex IDE extension,mcp.revision.2026-07-28,MCP 2026-07-28,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-ide,Codex IDE extension,mcp.resources,MCP resources,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-ide,Codex IDE extension,mcp.prompts,MCP prompts,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-ide,Codex IDE extension,mcp.roots,MCP roots,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-ide,Codex IDE extension,mcp.sampling,MCP sampling,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-ide,Codex IDE extension,mcp.elicitation,MCP elicitation,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-ide,Codex IDE extension,mcp.tasks,MCP tasks,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-ide,Codex IDE extension,mcp.apps,MCP Apps / interactive UI,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-ide,Codex IDE extension,agent-plugins.failure-isolation,Agent Plugins failure isolation,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-ide,Codex IDE extension,acp.session-load,ACP session load/resume,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-ide,Codex IDE extension,acp.session-list,ACP session list,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-ide,Codex IDE extension,acp.terminal-reverse-rpc,ACP terminal reverse RPC,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-ide,Codex IDE extension,a2a.client,A2A client role,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
OpenAI,codex-ide,Codex IDE extension,a2a.server,A2A agent/server role,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-editor,Cursor editor agent,mcp.revision.2026-07-28,MCP 2026-07-28,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-editor,Cursor editor agent,mcp.sampling,MCP sampling,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-editor,Cursor editor agent,mcp.tasks,MCP tasks,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-editor,Cursor editor agent,agent-plugins.failure-isolation,Agent Plugins failure isolation,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-editor,Cursor editor agent,acp.session-load,ACP session load/resume,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-editor,Cursor editor agent,acp.session-list,ACP session list,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-editor,Cursor editor agent,acp.terminal-reverse-rpc,ACP terminal reverse RPC,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-editor,Cursor editor agent,a2a.client,A2A client role,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-editor,Cursor editor agent,a2a.server,A2A agent/server role,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-cli,Cursor CLI agent,mcp.revision.2026-07-28,MCP 2026-07-28,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-cli,Cursor CLI agent,mcp.sampling,MCP sampling,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-cli,Cursor CLI agent,mcp.tasks,MCP tasks,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-cli,Cursor CLI agent,agent-plugins.failure-isolation,Agent Plugins failure isolation,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-cli,Cursor CLI agent,acp.session-load,ACP session load/resume,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-cli,Cursor CLI agent,acp.session-list,ACP session list,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-cli,Cursor CLI agent,acp.terminal-reverse-rpc,ACP terminal reverse RPC,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-cli,Cursor CLI agent,a2a.client,A2A client role,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-cli,Cursor CLI agent,a2a.server,A2A agent/server role,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-cloud-agent,Cursor Cloud Agent,mcp.revision.2026-07-28,MCP 2026-07-28,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-cloud-agent,Cursor Cloud Agent,mcp.resources,MCP resources,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-cloud-agent,Cursor Cloud Agent,mcp.prompts,MCP prompts,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-cloud-agent,Cursor Cloud Agent,mcp.roots,MCP roots,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-cloud-agent,Cursor Cloud Agent,mcp.sampling,MCP sampling,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-cloud-agent,Cursor Cloud Agent,mcp.elicitation,MCP elicitation,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-cloud-agent,Cursor Cloud Agent,mcp.tasks,MCP tasks,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-cloud-agent,Cursor Cloud Agent,mcp.apps,MCP Apps / interactive UI,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-cloud-agent,Cursor Cloud Agent,agent-plugins.failure-isolation,Agent Plugins failure isolation,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-cloud-agent,Cursor Cloud Agent,acp.session-load,ACP session load/resume,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-cloud-agent,Cursor Cloud Agent,acp.session-list,ACP session list,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-cloud-agent,Cursor Cloud Agent,acp.terminal-reverse-rpc,ACP terminal reverse RPC,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-cloud-agent,Cursor Cloud Agent,a2a.client,A2A client role,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Cursor,cursor-cloud-agent,Cursor Cloud Agent,a2a.server,A2A agent/server role,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Microsoft / Visual Studio Code,vscode-agent-host,VS Code agent/plugin host,mcp.revision.2026-07-28,MCP 2026-07-28,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Microsoft / Visual Studio Code,vscode-agent-host,VS Code agent/plugin host,mcp.auth.oauth,MCP OAuth,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Microsoft / Visual Studio Code,vscode-agent-host,VS Code agent/plugin host,mcp.roots,MCP roots,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Microsoft / Visual Studio Code,vscode-agent-host,VS Code agent/plugin host,mcp.sampling,MCP sampling,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Microsoft / Visual Studio Code,vscode-agent-host,VS Code agent/plugin host,mcp.elicitation,MCP elicitation,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Microsoft / Visual Studio Code,vscode-agent-host,VS Code agent/plugin host,mcp.tasks,MCP tasks,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Microsoft / Visual Studio Code,vscode-agent-host,VS Code agent/plugin host,mcp.apps,MCP Apps / interactive UI,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Microsoft / Visual Studio Code,vscode-agent-host,VS Code agent/plugin host,agent-plugins.failure-isolation,Agent Plugins failure isolation,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Microsoft / Visual Studio Code,vscode-agent-host,VS Code agent/plugin host,acp.session-load,ACP session load/resume,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Microsoft / Visual Studio Code,vscode-agent-host,VS Code agent/plugin host,acp.session-list,ACP session list,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Microsoft / Visual Studio Code,vscode-agent-host,VS Code agent/plugin host,acp.terminal-reverse-rpc,ACP terminal reverse RPC,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Microsoft / Visual Studio Code,vscode-agent-host,VS Code agent/plugin host,a2a.client,A2A client role,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
Microsoft / Visual Studio Code,vscode-agent-host,VS Code agent/plugin host,a2a.server,A2A agent/server role,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-vscode,GitHub Copilot in VS Code,mcp.revision.2026-07-28,MCP 2026-07-28,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-vscode,GitHub Copilot in VS Code,mcp.auth.oauth,MCP OAuth,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-vscode,GitHub Copilot in VS Code,mcp.roots,MCP roots,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-vscode,GitHub Copilot in VS Code,mcp.sampling,MCP sampling,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-vscode,GitHub Copilot in VS Code,mcp.elicitation,MCP elicitation,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-vscode,GitHub Copilot in VS Code,mcp.tasks,MCP tasks,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-vscode,GitHub Copilot in VS Code,mcp.apps,MCP Apps / interactive UI,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-vscode,GitHub Copilot in VS Code,agent-plugins.failure-isolation,Agent Plugins failure isolation,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-vscode,GitHub Copilot in VS Code,acp.session-load,ACP session load/resume,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-vscode,GitHub Copilot in VS Code,acp.session-list,ACP session list,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-vscode,GitHub Copilot in VS Code,acp.terminal-reverse-rpc,ACP terminal reverse RPC,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-vscode,GitHub Copilot in VS Code,a2a.client,A2A client role,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-vscode,GitHub Copilot in VS Code,a2a.server,A2A agent/server role,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cli,GitHub Copilot CLI,mcp.revision.2026-07-28,MCP 2026-07-28,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cli,GitHub Copilot CLI,mcp.resources,MCP resources,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cli,GitHub Copilot CLI,mcp.prompts,MCP prompts,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cli,GitHub Copilot CLI,mcp.auth.oauth,MCP OAuth,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cli,GitHub Copilot CLI,mcp.roots,MCP roots,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cli,GitHub Copilot CLI,mcp.sampling,MCP sampling,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cli,GitHub Copilot CLI,mcp.elicitation,MCP elicitation,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cli,GitHub Copilot CLI,mcp.tasks,MCP tasks,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cli,GitHub Copilot CLI,mcp.apps,MCP Apps / interactive UI,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cli,GitHub Copilot CLI,agent-plugins.failure-isolation,Agent Plugins failure isolation,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cli,GitHub Copilot CLI,acp.session-load,ACP session load/resume,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cli,GitHub Copilot CLI,acp.session-list,ACP session list,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cli,GitHub Copilot CLI,acp.terminal-reverse-rpc,ACP terminal reverse RPC,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cli,GitHub Copilot CLI,a2a.client,A2A client role,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cli,GitHub Copilot CLI,a2a.server,A2A agent/server role,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cloud-agent,GitHub Copilot cloud agent,mcp.revision.2026-07-28,MCP 2026-07-28,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cloud-agent,GitHub Copilot cloud agent,mcp.roots,MCP roots,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cloud-agent,GitHub Copilot cloud agent,mcp.sampling,MCP sampling,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cloud-agent,GitHub Copilot cloud agent,mcp.elicitation,MCP elicitation,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cloud-agent,GitHub Copilot cloud agent,mcp.tasks,MCP tasks,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cloud-agent,GitHub Copilot cloud agent,mcp.apps,MCP Apps / interactive UI,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cloud-agent,GitHub Copilot cloud agent,agent-plugins.failure-isolation,Agent Plugins failure isolation,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cloud-agent,GitHub Copilot cloud agent,acp.session-load,ACP session load/resume,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cloud-agent,GitHub Copilot cloud agent,acp.session-list,ACP session list,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cloud-agent,GitHub Copilot cloud agent,acp.terminal-reverse-rpc,ACP terminal reverse RPC,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cloud-agent,GitHub Copilot cloud agent,a2a.client,A2A client role,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-cloud-agent,GitHub Copilot cloud agent,a2a.server,A2A agent/server role,P2,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
GitHub,copilot-code-review,GitHub Copilot code review,mcp.revision.2026-07-28,MCP 2026-07-28,P1,first-party clarification + release-pinned conformance test,Unknown is intentional; no explicit negative evidence located.
