registry,entry_name,version_or_components,mapped_surface_id,claim_scope,source_key,confidence,notes
ACP Registry,GitHub Copilot,1.0.81,copilot-cli,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,GLM Agent,1.6.1,zai-acp-agent,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Google Antigravity,1.0.0,google-antigravity,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,goose,1.48.0,goose-cli,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Grok Build,1.0.12,grok-build-cli,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Harn,0.10.119,harn-acp-agent,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Junie,3032.2.0,junie-acp-agent,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Kilo,7.5.5,kilo-cli,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Kimi CLI,1.49.0,kimi-cli-legacy-acp,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Minion Code,0.1.44,minion-acp-agent,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Mistral Vibe,2.24.1,mistral-vibe-cli,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Nova,1.1.37,compass-ai-acp-agent,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,OpenCode,1.18.25,opencode-cli,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,pi ACP,0.0.33,pi-acp-agent,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Poolside,1.0.16,poolside-acp-agent,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Qoder CLI,0.2.14,qoder-cli,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Qwen Code,0.22.2,qwen-code-cli,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,siGit Code,1.5.2,sigit-acp-agent,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,Stakpak,0.3.88,stakpak-acp-agent,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
ACP Registry,VT Code,0.96.14,vt-code-acp-agent,ACP-compatible agent with authentication/distribution metadata,S-001,medium,Registry membership does not prove optional ACP methods or any MCP/Skills/Plugins support.
Agent Plugins compatible clients,VS Code,"Agent Skills; mcp.transport.stdio, mcp.transport.streamable-http, mcp.transport.legacy-sse",vscode-agent-host,Portable Agent Plugins client components/transports,S-002,medium,Client list can be incremental; product-level listing is refined by surface-specific docs.
Agent Plugins compatible clients,Cursor,"Agent Skills; mcp.transport.stdio, mcp.transport.streamable-http, mcp.transport.legacy-sse",cursor-editor,Portable Agent Plugins client components/transports,S-002,medium,Client list can be incremental; product-level listing is refined by surface-specific docs.
Agent Plugins compatible clients,GitHub Copilot,"Agent Skills; mcp.transport.stdio, mcp.transport.streamable-http, mcp.transport.legacy-sse",copilot-vscode,Portable Agent Plugins client components/transports,S-002,medium,Client list can be incremental; product-level listing is refined by surface-specific docs.
Agent Plugins compatible clients,ChatGPT & Codex,"Agent Skills; mcp.transport.stdio, mcp.transport.streamable-http",codex-cli,Portable Agent Plugins client components/transports,S-002,medium,Client list can be incremental; product-level listing is refined by surface-specific docs.
Agent Plugins compatible clients,Kiro,"Agent Skills; mcp.transport.stdio, mcp.transport.streamable-http, mcp.transport.legacy-sse",kiro-ide,Portable Agent Plugins client components/transports,S-002,medium,Client list can be incremental; product-level listing is refined by surface-specific docs.
Agent Plugins compatible clients,Hermes Agent,"Agent Skills; mcp.transport.stdio, mcp.transport.streamable-http",hermes-core,Portable Agent Plugins client components/transports,S-002,medium,Client list can be incremental; product-level listing is refined by surface-specific docs.
Agent Plugins compatible clients,OpenClaw,"Agent Skills; mcp.transport.stdio, mcp.transport.streamable-http, mcp.transport.legacy-sse",openclaw-core,Portable Agent Plugins client components/transports,S-002,medium,Client list can be incremental; product-level listing is refined by surface-specific docs.
Agent Plugins compatible clients,Grok Bot,"Agent Skills; mcp.transport.stdio, mcp.transport.streamable-http, mcp.transport.legacy-sse",grok-bot-cloud,Portable Agent Plugins client components/transports,S-002,medium,Client list can be incremental; product-level listing is refined by surface-specific docs.
Agent Plugins compatible clients,NanoClaw,"Agent Skills; mcp.transport.stdio, mcp.transport.streamable-http",nanoclaw-agent,Portable Agent Plugins client components/transports,S-002,medium,Client list can be incremental; product-level listing is refined by surface-specific docs.
