source_key,title,url,archive_url,publisher,published_at,retrieved_at_utc,source_type,role,confidence,notes
S-045,GitHub Copilot enterprise agent management,https://docs.github.com/copilot/concepts/agents/enterprise-management,[archive-failed: automated archive submission unavailable in this environment],GitHub,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-050,Gemini CLI MCP,https://geminicli.com/docs/tools/mcp-server/,[archive-failed: automated archive submission unavailable in this environment],Google,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-051,Gemini CLI ACP mode,https://geminicli.com/docs/cli/acp-mode/,[archive-failed: automated archive submission unavailable in this environment],Google,2026-04-10,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-052,Gemini CLI Agent Skills,https://geminicli.com/docs/cli/skills/,[archive-failed: automated archive submission unavailable in this environment],Google,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-053,Gemini CLI release notes,https://geminicli.com/docs/changelogs/,[archive-failed: automated archive submission unavailable in this environment],Google,live docs,2026-08-28T19:48:01Z,vendor-release,canonical,high,Agent Skills are explicitly preview-only at the cutoff.
S-054,Gemini CLI Subagents,https://geminicli.com/docs/core/subagents/,[archive-failed: automated archive submission unavailable in this environment],Google,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-060,Zed MCP,https://zed.dev/docs/ai/mcp,[archive-failed: automated archive submission unavailable in this environment],Zed Industries,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-061,Zed External Agents,https://zed.dev/docs/ai/external-agents,[archive-failed: automated archive submission unavailable in this environment],Zed Industries,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-070,JetBrains MCP,https://www.jetbrains.com/help/ai-assistant/mcp.html,[archive-failed: automated archive submission unavailable in this environment],JetBrains,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-071,JetBrains ACP,https://www.jetbrains.com/help/ai-assistant/acp.html,[archive-failed: automated archive submission unavailable in this environment],JetBrains,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-072,JetBrains Agent Skills,https://www.jetbrains.com/help/ai-assistant/agent-skills.html,[archive-failed: automated archive submission unavailable in this environment],JetBrains,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-073,JetBrains Agents,https://www.jetbrains.com/help/ai-assistant/agents.html,[archive-failed: automated archive submission unavailable in this environment],JetBrains,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-074,JetBrains ACP Registry settings,https://www.jetbrains.com/help/ai-assistant/settings-reference-agents-registry.html,[archive-failed: automated archive submission unavailable in this environment],JetBrains,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-075,JetBrains Junie agent,https://www.jetbrains.com/help/ai-assistant/junie-agent.html,[archive-failed: automated archive submission unavailable in this environment],JetBrains,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-080,Kiro Agent Skills,https://kiro.dev/docs/skills/,[archive-failed: automated archive submission unavailable in this environment],AWS Kiro,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-081,Kiro Hooks,https://kiro.dev/docs/hooks/,[archive-failed: automated archive submission unavailable in this environment],AWS Kiro,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-082,Kiro Powers,https://kiro.dev/docs/powers/create/,[archive-failed: automated archive submission unavailable in this environment],AWS Kiro,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-083,Kiro CLI 3 migration,https://kiro.dev/docs/cli/v3/,[archive-failed: automated archive submission unavailable in this environment],AWS Kiro,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-090,Cline Subagents,https://docs.cline.bot/features/subagents,[archive-failed: automated archive submission unavailable in this environment],Cline,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-091,Cline Tools reference,https://docs.cline.bot/tools-reference/all-cline-tools,[archive-failed: automated archive submission unavailable in this environment],Cline,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-092,Cline CLI reference,https://docs.cline.bot/cli/cli-reference,[archive-failed: automated archive submission unavailable in this environment],Cline,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-093,Cline Skills,https://docs.cline.bot/customization/skills,[archive-failed: automated archive submission unavailable in this environment],Cline,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-100,OpenCode Overview,https://opencode.ai/docs/,[archive-failed: automated archive submission unavailable in this environment],OpenCode,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-101,OpenCode MCP servers,https://opencode.ai/docs/mcp-servers/,[archive-failed: automated archive submission unavailable in this environment],OpenCode,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-102,OpenCode Agent Skills,https://opencode.ai/docs/skills/,[archive-failed: automated archive submission unavailable in this environment],OpenCode,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-103,OpenCode ACP,https://opencode.ai/docs/acp/,[archive-failed: automated archive submission unavailable in this environment],OpenCode,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-104,OpenCode Agents,https://opencode.ai/docs/agents/,[archive-failed: automated archive submission unavailable in this environment],OpenCode,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-105,OpenCode Plugins,https://opencode.ai/docs/plugins/,[archive-failed: automated archive submission unavailable in this environment],OpenCode,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-110,Continue MCP setup,https://docs.continue.dev/customize/deep-dives/mcp,[archive-failed: automated archive submission unavailable in this environment],Continue,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-111,Continue Agent mode,https://docs.continue.dev/ide-extensions/agent/how-it-works,[archive-failed: automated archive submission unavailable in this environment],Continue,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-120,Cascade Skills,https://docs.devin.ai/desktop/cascade/skills,[archive-failed: automated archive submission unavailable in this environment],Cognition,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-121,Cascade MCP,https://docs.devin.ai/desktop/cascade/mcp,[archive-failed: automated archive submission unavailable in this environment],Cognition,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-122,Cascade Hooks,https://docs.devin.ai/desktop/cascade/hooks,[archive-failed: automated archive submission unavailable in this environment],Cognition,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-123,Cascade AGENTS.md,https://docs.devin.ai/desktop/cascade/agents-md,[archive-failed: automated archive submission unavailable in this environment],Cognition,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-124,Devin Local Agent,https://docs.devin.ai/desktop/devin-local,[archive-failed: automated archive submission unavailable in this environment],Cognition,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-125,Devin CLI Skills,https://docs.devin.ai/cli/extensibility/skills/overview,[archive-failed: automated archive submission unavailable in this environment],Cognition,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-126,Devin CLI Subagents,https://docs.devin.ai/cli/subagents,[archive-failed: automated archive submission unavailable in this environment],Cognition,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-127,Devin CLI changelog,https://docs.devin.ai/cli/changelog/stable,[archive-failed: automated archive submission unavailable in this environment],Cognition,live docs,2026-08-28T19:48:01Z,vendor-release,canonical,high,
S-128,Devin Local enterprise controls,https://docs.devin.ai/cli/enterprise/controls,[archive-failed: automated archive submission unavailable in this environment],Cognition,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-130,Auggie Agent Skills,https://docs.augmentcode.com/cli/skills,[archive-failed: automated archive submission unavailable in this environment],Augment Code,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-131,Auggie MCP,https://docs.augmentcode.com/cli/integrations,[archive-failed: automated archive submission unavailable in this environment],Augment Code,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-132,Auggie Plugins,https://docs.augmentcode.com/cli/plugins,[archive-failed: automated archive submission unavailable in this environment],Augment Code,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-133,Auggie Hooks,https://docs.augmentcode.com/cli/hooks,[archive-failed: automated archive submission unavailable in this environment],Augment Code,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-134,Auggie CLI reference,https://docs.augmentcode.com/cli/reference,[archive-failed: automated archive submission unavailable in this environment],Augment Code,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-135,Auggie Rules,https://docs.augmentcode.com/cli/rules,[archive-failed: automated archive submission unavailable in this environment],Augment Code,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-136,Auggie Permissions,https://docs.augmentcode.com/cli/permissions,[archive-failed: automated archive submission unavailable in this environment],Augment Code,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-140,goose documentation home,https://goose-docs.ai/,[archive-failed: automated archive submission unavailable in this environment],Block / goose,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-141,goose Agent Skills,https://goose-docs.ai/docs/guides/context-engineering/using-skills/,[archive-failed: automated archive submission unavailable in this environment],Block / goose,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-142,goose Subagents,https://goose-docs.ai/docs/guides/context-engineering/subagents/,[archive-failed: automated archive submission unavailable in this environment],Block / goose,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-143,goose Custom Agents,https://goose-docs.ai/docs/guides/context-engineering/custom-agents/,[archive-failed: automated archive submission unavailable in this environment],Block / goose,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-144,goose MCP Apps article,https://goose-docs.ai/blog/2025/08/11/mcp-ui-post-browser-world/,[archive-failed: automated archive submission unavailable in this environment],Block / goose,2025-08-11,2026-08-28T19:48:01Z,vendor-blog,canonical,high,MCP UI/Apps-style support was experimental.
S-145,goose ACP introduction,https://goose-docs.ai/blog/2025/10/24/intro-to-agent-client-protocol-acp/,[archive-failed: automated archive submission unavailable in this environment],Block / goose,2025-10-24,2026-08-28T19:48:01Z,vendor-blog,canonical,high,
S-146,goose ACP provider MCP forwarding,https://goose-docs.ai/blog/2026/03/19/use-goose-with-your-ai-subscription/,[archive-failed: automated archive submission unavailable in this environment],Block / goose,2026-03-19,2026-08-28T19:48:01Z,vendor-blog,canonical,high,
S-150,Hermes ACP Host Integration,https://hermes-agent.nousresearch.com/docs/user-guide/features/acp,[archive-failed: automated archive submission unavailable in this environment],Nous Research,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-151,Hermes Skills,https://hermes-agent.nousresearch.com/docs/user-guide/features/skills,[archive-failed: automated archive submission unavailable in this environment],Nous Research,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-152,Hermes MCP,https://hermes-agent.nousresearch.com/docs/user-guide/features/mcp,[archive-failed: automated archive submission unavailable in this environment],Nous Research,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-153,Hermes Plugins,https://hermes-agent.nousresearch.com/docs/user-guide/features/plugins,[archive-failed: automated archive submission unavailable in this environment],Nous Research,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-154,Hermes Programmatic Integration,https://hermes-agent.nousresearch.com/docs/developer-guide/programmatic-integration,[archive-failed: automated archive submission unavailable in this environment],Nous Research,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-160,OpenClaw Skills,https://docs.openclaw.ai/tools/skills,[archive-failed: automated archive submission unavailable in this environment],OpenClaw,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-161,OpenClaw MCP,https://docs.openclaw.ai/cli/mcp,[archive-failed: automated archive submission unavailable in this environment],OpenClaw,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-162,OpenClaw ACP agents,https://docs.openclaw.ai/tools/acp-agents,[archive-failed: automated archive submission unavailable in this environment],OpenClaw,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-163,OpenClaw Subagents,https://docs.openclaw.ai/tools/subagents,[archive-failed: automated archive submission unavailable in this environment],OpenClaw,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-164,OpenClaw Plugin bundles,https://docs.openclaw.ai/plugins/bundles,[archive-failed: automated archive submission unavailable in this environment],OpenClaw,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-170,Grok Build Overview,https://docs.x.ai/build/overview,[archive-failed: automated archive submission unavailable in this environment],xAI,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-171,Grok Build CLI reference,https://docs.x.ai/build/cli/reference,[archive-failed: automated archive submission unavailable in this environment],xAI,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-172,Grok Build Sessions,https://docs.x.ai/build/features/sessions,[archive-failed: automated archive submission unavailable in this environment],xAI,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-173,Grok Bot Overview,https://docs.x.ai/grok-bot/overview,[archive-failed: automated archive submission unavailable in this environment],xAI,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-180,Kimi Code ACP,https://www.kimi.com/code/docs/en/kimi-code-cli/reference/kimi-acp.html,[archive-failed: automated archive submission unavailable in this environment],Moonshot AI,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-181,Kimi Code MCP,https://www.kimi.com/code/docs/en/kimi-code-cli/customization/mcp.html,[archive-failed: automated archive submission unavailable in this environment],Moonshot AI,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-182,Kimi Code Changelog,https://www.kimi.com/code/docs/en/kimi-code-cli/release-notes/changelog.html,[archive-failed: automated archive submission unavailable in this environment],Moonshot AI,live docs,2026-08-28T19:48:01Z,vendor-release,canonical,high,
S-183,Kimi Code Skills,https://www.kimi.com/code/docs/en/kimi-code-cli/customization/skills.html,[archive-failed: automated archive submission unavailable in this environment],Moonshot AI,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-184,Kimi Code Subagents,https://www.kimi.com/code/docs/en/kimi-code-cli/customization/subagents.html,[archive-failed: automated archive submission unavailable in this environment],Moonshot AI,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-190,Mistral Vibe MCP servers,https://docs.mistral.ai/vibe/code/cli/mcp-servers,[archive-failed: automated archive submission unavailable in this environment],Mistral AI,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-191,Mistral Vibe documentation,https://docs.mistral.ai/vibe/code/,[archive-failed: automated archive submission unavailable in this environment],Mistral AI,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-200,Qoder CLI Overview,https://docs.qoder.com/cli/overview,[archive-failed: automated archive submission unavailable in this environment],Qoder,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-201,Qoder Plugins,https://docs.qoder.com/cli/plugins,[archive-failed: automated archive submission unavailable in this environment],Qoder,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-202,Qoder Subagents,https://docs.qoder.com/cli/subagent,[archive-failed: automated archive submission unavailable in this environment],Qoder,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-203,Qoder Permissions,https://docs.qoder.com/cli/permissions,[archive-failed: automated archive submission unavailable in this environment],Qoder,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-204,Qoder CLI release notes,https://docs.qoder.com/ja/release-notes/qoder-cli,[archive-failed: automated archive submission unavailable in this environment],Qoder,live docs,2026-08-28T19:48:01Z,vendor-release,canonical,high,
S-205,Qoder MCP SDK,https://docs.qoder.com/en/cli/sdk/python/mcp,[archive-failed: automated archive submission unavailable in this environment],Qoder,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-210,Qwen Code Agent Skills,https://qwenlm.github.io/qwen-code-docs/en/users/features/skills/,[archive-failed: automated archive submission unavailable in this environment],Alibaba Qwen,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-211,Qwen Code MCP,https://qwenlm.github.io/qwen-code-docs/en/developers/tools/mcp-server/,[archive-failed: automated archive submission unavailable in this environment],Alibaba Qwen,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-212,Qwen Code Subagents,https://qwenlm.github.io/qwen-code-docs/en/users/features/sub-agents/,[archive-failed: automated archive submission unavailable in this environment],Alibaba Qwen,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-213,Qwen Code Extensions,https://qwenlm.github.io/qwen-code-docs/en/users/extension/introduction/,[archive-failed: automated archive submission unavailable in this environment],Alibaba Qwen,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-214,Qwen Code Architecture,https://qwenlm.github.io/qwen-code-docs/en/developers/architecture/,[archive-failed: automated archive submission unavailable in this environment],Alibaba Qwen,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-215,Qwen Code Multi-Agent Coordination,https://qwenlm.github.io/qwen-code-docs/en/users/features/multi-agent-coordination/,[archive-failed: automated archive submission unavailable in this environment],Alibaba Qwen,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,Multi-agent coordination is experimental.
S-220,Factory Droid Documentation,https://docs.factory.ai/,[archive-failed: automated archive submission unavailable in this environment],Factory AI,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-221,Factory Droid CLI Quickstart,https://docs.factory.ai/droid-cli/quickstart,[archive-failed: automated archive submission unavailable in this environment],Factory AI,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-222,Factory Droid Headless,https://docs.factory.ai/droid-exec/overview,[archive-failed: automated archive submission unavailable in this environment],Factory AI,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-223,Factory Release Notes,https://docs.factory.ai/changelog/release-notes,[archive-failed: automated archive submission unavailable in this environment],Factory AI,live docs,2026-08-28T19:48:01Z,vendor-release,canonical,high,
S-224,Factory Custom Droids (Subagents),https://docs.factory.ai/harness/subagents,[archive-failed: automated archive submission unavailable in this environment],Factory AI,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,Explicitly states that a subagent cannot spawn its own subagents.
S-230,Kilo CLI,https://kilo.ai/docs/code-with-ai/platforms/cli,[archive-failed: automated archive submission unavailable in this environment],Kilo,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-231,Kilo CLI Reference,https://kilo.ai/docs/code-with-ai/platforms/cli-reference,[archive-failed: automated archive submission unavailable in this environment],Kilo,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-232,Kilo JetBrains,https://kilo.ai/docs/code-with-ai/platforms/jetbrains,[archive-failed: automated archive submission unavailable in this environment],Kilo,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-240,OpenHands Agent Canvas Customize,https://docs.openhands.dev/openhands/usage/agent-canvas/customize-and-settings,[archive-failed: automated archive submission unavailable in this environment],OpenHands,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-241,OpenHands Agent Canvas Plugins,https://docs.openhands.dev/openhands/usage/agent-canvas/plugins,[archive-failed: automated archive submission unavailable in this environment],OpenHands,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-242,OpenHands CLI ACP Overview,https://docs.openhands.dev/openhands/usage/cli/ide/overview,[archive-failed: automated archive submission unavailable in this environment],OpenHands,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,ACP integration is experimental.
S-243,OpenHands VS Code ACP,https://docs.openhands.dev/openhands/usage/cli/ide/vscode,[archive-failed: automated archive submission unavailable in this environment],OpenHands,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,"VS Code uses a community ACP extension, not native VS Code support."
S-244,OpenHands Agent Canvas local/cloud plugins,https://docs.openhands.dev/openhands/usage/agent-canvas/backend-setup/cloud,[archive-failed: automated archive submission unavailable in this environment],OpenHands,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-245,OpenHands PR review ACP backend,https://docs.openhands.dev/openhands/usage/use-cases/code-review,[archive-failed: automated archive submission unavailable in this environment],OpenHands,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,ACP review backend is experimental.
S-250,Replit Agent,https://docs.replit.com/features/agent/overview,[archive-failed: automated archive submission unavailable in this environment],Replit,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-251,Replit Agent Skills,https://docs.replit.com/features/agent/skills,[archive-failed: automated archive submission unavailable in this environment],Replit,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-252,Replit MCP list,https://docs.replit.com/features/mcp/overview,[archive-failed: automated archive submission unavailable in this environment],Replit,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
S-253,Replit MCP Server,https://docs.replit.com/platforms/mcp-server,[archive-failed: automated archive submission unavailable in this environment],Replit,live docs,2026-08-28T19:48:01Z,vendor-doc,canonical,high,
