vendor_name,product_name,surface_id,surface_name,surface_type,version_or_observation,coverage_tier,mcp.client,mcp.server,mcp.tools,mcp.resources,mcp.prompts,mcp.transport.stdio,mcp.transport.streamable-http,mcp.auth.oauth,mcp.apps,agent-skills.core,agent-plugins.core,acp.client,acp.agent,instructions.agents-md,hooks,subagents,plugins.native,automation.headless,automation.cloud-agent,governance.org-policy
Continue,Continue,continue-agent-mode,Continue Agent mode,ide-agent-mode,observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,supported,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown
Continue,Continue,continue-plan-mode,Continue Plan mode,ide-plan-mode,observed 2026-08-28,A,unsupported,unknown,unsupported,unknown,unknown,unsupported,unsupported,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Continue,Continue,continue-chat-mode,Continue Chat mode,ide-chat-mode,observed 2026-08-28,A,unsupported,unknown,unsupported,unknown,unknown,unsupported,unsupported,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Cognition,Cascade,cascade-desktop,Cascade desktop agent,desktop-agent,observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,supported,supported,unknown,unknown,supported,unknown,unknown,unknown,supported,supported,unknown,unknown,unknown,unknown,partial
Cognition,Devin,devin-local,Devin Local,local-agent,observed 2026-08-28,A,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,supported,supported,supported,unknown,unknown,unknown
Cognition,Devin,devin-cli,Devin CLI,cli,3000.6.2 registry / observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,supported,unknown,supported,supported,supported,supported,unknown,unknown
Cognition,Devin,devin-cloud,Devin Cloud,cloud-agent,hosted observed 2026-08-28,B,supported,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,supported,supported,unknown,supported,unknown
Augment Code,Auggie,auggie-cli,Auggie CLI,cli,0.36.0 registry / observed 2026-08-28,A,supported,supported,supported,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,supported,unknown,supported,supported,supported,supported,unknown,supported
Augment Code,Auggie,augment-ide,Augment IDE agent,ide-extension,observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,supported,supported,supported,unknown,unknown,supported
Block / goose,goose,goose-cli,goose CLI,cli,1.48.0,A,supported,unknown,supported,supported,supported,unknown,unknown,unknown,partial,supported,unknown,unknown,supported,unknown,unknown,supported,supported,unknown,unknown,unknown
Block / goose,goose,goose-desktop,goose desktop,desktop,observed 2026-08-28,A,supported,unknown,supported,supported,supported,unknown,unknown,unknown,partial,supported,unknown,unknown,unknown,unknown,unknown,supported,supported,unknown,unknown,unknown
Block / goose,goose,goose-acp-host,goose ACP-agent provider host,acp-client,observed 2026-08-28,A,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Nous Research / Hermes,Hermes Agent,hermes-core,Hermes CLI/desktop/messaging core,multi-surface-agent,observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,supported,supported,unknown,unknown,supported,supported,unknown,unknown,unknown,unknown,unknown,supported,supported,unknown,unknown
Nous Research / Hermes,Hermes Agent,hermes-acp-agent,Hermes ACP agent,acp-agent,observed 2026-08-28,A,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,supported,unknown,unknown,unknown,unknown
OpenClaw,OpenClaw,openclaw-core,OpenClaw core agent,multi-surface-agent,observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,supported,supported,unknown,unknown,supported,supported,unknown,unknown,unknown,unknown,supported,supported,unknown,unknown,unknown
OpenClaw,OpenClaw,openclaw-acp-host,OpenClaw ACP host,acp-client,observed 2026-08-28,A,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
OpenClaw,OpenClaw,openclaw-mcp-server,OpenClaw MCP server,mcp-server,observed 2026-08-28,A,unknown,supported,supported,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
xAI,Grok Build,grok-build-cli,Grok Build CLI/TUI,cli,1.0.12,A,supported,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,supported,unknown,supported,unknown,supported,supported,unknown,unknown
xAI,Grok Bot,grok-bot-cloud,Grok Bot cloud,cloud-agent,hosted observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,supported,supported,unknown,unknown,supported,supported,unknown,unknown,unknown,unknown,supported,unknown,unknown,supported,unknown
NanoClaw,NanoClaw,nanoclaw-agent,NanoClaw agent,messaging-agent,observed 2026-08-28,B,supported,unknown,supported,unknown,unknown,supported,supported,unknown,unknown,supported,supported,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown
Moonshot AI,Kimi Code CLI,kimi-code-cli,Kimi Code CLI,cli,0.39.1 current docs,A,supported,unknown,supported,unknown,unknown,supported,supported,supported,unknown,supported,unknown,unknown,supported,unknown,supported,supported,supported,supported,unknown,unknown
Moonshot AI,Kimi CLI legacy registry distribution,kimi-cli-legacy-acp,Kimi CLI ACP registry entry,acp-agent,1.49.0 registry,C,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Mistral AI,Mistral Vibe,mistral-vibe-cli,Mistral Vibe CLI,cli,2.24.1,A,supported,unknown,supported,unknown,unknown,supported,supported,unsupported,unknown,supported,unknown,unknown,supported,supported,unknown,unknown,unknown,supported,unknown,unknown
Qoder,Qoder CLI,qoder-cli,Qoder CLI,cli,1.1.25+ current docs / registry 0.2.14,A,supported,unknown,supported,unknown,unknown,unknown,unknown,supported,unknown,supported,unknown,unknown,supported,unknown,supported,supported,supported,supported,unknown,unknown
Alibaba / Qwen,Qwen Code,qwen-code-cli,Qwen Code CLI,cli,0.22.2 registry / observed 2026-08-28,A,supported,unknown,supported,supported,supported,unknown,unknown,unknown,unknown,supported,unknown,unknown,supported,unknown,unknown,supported,supported,supported,unknown,unknown
Factory AI,Factory Droid,factory-droid-cli,Factory Droid CLI,cli,0.206.0,A,supported,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,supported,unknown,supported,supported,supported,unknown,unknown,supported
Factory AI,Factory Droid,factory-droid-headless,Factory Droid Exec,headless-agent,observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,supported,supported,supported,supported,unknown,unknown
Kilo,Kilo Code,kilo-cli,Kilo CLI,cli,7.5.5 registry / observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,unknown,unknown,supported,unknown,supported,unknown,unknown,supported,unknown,unknown,unknown,unknown,supported,unknown,unknown
Kilo,Kilo Code,kilo-ide,Kilo IDE extension,ide-extension,observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,unknown,unknown,supported,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
OpenHands,OpenHands,openhands-cli,OpenHands CLI,cli,observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown
OpenHands,OpenHands,openhands-acp-agent,OpenHands ACP agent,acp-agent,experimental observed 2026-08-28,A,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
OpenHands,OpenHands,openhands-canvas-local,OpenHands Agent Canvas local backend,web-desktop-host,1.15.x observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,supported,unknown,unknown,supported,unknown,supported,unknown,unknown,unknown
OpenHands,OpenHands,openhands-canvas-cloud,OpenHands Agent Canvas cloud backend,cloud-agent-host,hosted observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,partial,unknown,supported,unknown
Replit,Replit Agent,replit-agent,Replit Agent,cloud-ide-agent,hosted observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,supported
Replit,Replit MCP Server,replit-mcp-server,Replit MCP Server,mcp-server,observed 2026-08-28,A,unknown,supported,supported,unknown,unknown,unknown,supported,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Warp,Warp Agent,warp-local-agent,Warp local Agent,desktop-agent,observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,supported,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Warp,Warp Agent,warp-agent-cli,Warp Agent CLI / Oz CLI,cli,observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown
Warp,Warp Agent,warp-cloud-agent,Warp Cloud Agent,cloud-agent,hosted observed 2026-08-28,A,supported,unknown,supported,unknown,unknown,partial,supported,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,supported
Roo Code,Roo Code,roo-code-vscode,Roo Code VS Code extension,ide-extension,discontinued 2026-05-15,B,unsupported,unknown,unsupported,unknown,unknown,unknown,unknown,unknown,unknown,unsupported,unknown,unknown,unknown,unknown,unsupported,unsupported,unsupported,unknown,unknown,unknown
Aider,Aider,aider-cli,Aider CLI,cli,observed 2026-08-28,D,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Agoragentic,Agoragentic,agoragentic-acp-agent,Agoragentic,acp-agent,1.3.0,C,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Amp,Amp ACP wrapper,amp-acp-agent,Amp ACP wrapper,acp-wrapper,0.9.0,C,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Autohand,Autohand Code,autohand-acp-agent,Autohand Code,acp-agent,0.2.1,C,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Tencent Cloud / CodeBuddy,Codebuddy Code,codebuddy-acp-agent,Codebuddy Code,acp-agent,2.141.0,C,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Snowflake,Cortex Code,snowflake-acp-agent,Cortex Code,acp-agent,1.0.73,C,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Corust,Corust Agent,corust-acp-agent,Corust Agent,acp-agent,0.6.0,C,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
crow-cli,crow-cli,crow-acp-agent,crow-cli,acp-agent,0.1.24,C,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
LangChain / DeepAgents,DeepAgents,deepagents-acp-agent,DeepAgents,acp-agent,0.1.7,C,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
DimCode,DimCode,dimcode-acp-agent,DimCode,acp-agent,0.3.22,C,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dirac,Dirac,dirac-acp-agent,Dirac,acp-agent,0.5.1,C,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
fast-agent,fast-agent,fast-agent-acp-agent,fast-agent,acp-agent,0.10.1,C,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Z.AI / GLM Agent,GLM Agent,zai-acp-agent,GLM Agent,acp-agent,1.6.1,C,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Harn,Harn,harn-acp-agent,Harn,acp-agent,0.10.119,C,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Minion Code,Minion Code,minion-acp-agent,Minion Code,acp-agent,0.1.44,C,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Compass AI / Nova,Nova,compass-ai-acp-agent,Nova,acp-agent,1.1.37,C,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
pi,pi ACP,pi-acp-agent,pi ACP,acp-adapter,0.0.33,C,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Poolside,Poolside,poolside-acp-agent,Poolside,acp-agent,1.0.16,C,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
siGit Code,siGit Code,sigit-acp-agent,siGit Code,acp-agent,1.5.2,C,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Stakpak,Stakpak,stakpak-acp-agent,Stakpak,acp-agent,0.3.88,C,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
VT Code,VT Code,vt-code-acp-agent,VT Code,acp-agent,0.96.14,C,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,supported,unknown,unknown,unknown,unknown,unknown,unknown,unknown
