assertion_id,surface_id,feature_id,status,evidence_method,implementation_mode,availability,confidence,environment_scope,qualifiers,source_keys,last_verified_at,notes
ASRT-00047,grok-build-cli,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 1.0.12; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00048,grok-build-cli,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00049,harn-acp-agent,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 0.10.119; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00050,harn-acp-agent,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00051,junie-acp-agent,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 3032.2.0; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00052,junie-acp-agent,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00053,kilo-cli,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 7.5.5; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00054,kilo-cli,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00055,kimi-cli-legacy-acp,acp.agent,supported,registry-listed,native,deprecated,medium,default,"Official ACP Registry 1.49.0; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00056,kimi-cli-legacy-acp,acp.transport.stdio,supported,registry-listed,native,deprecated,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00057,minion-acp-agent,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 0.1.44; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00058,minion-acp-agent,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00059,mistral-vibe-cli,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 2.24.1; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00060,mistral-vibe-cli,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00061,compass-ai-acp-agent,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 1.1.37; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00062,compass-ai-acp-agent,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00063,opencode-cli,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 1.18.25; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00064,opencode-cli,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00065,pi-acp-agent,acp.agent,supported,registry-listed,adapter,ga,medium,default,"Official ACP Registry 0.0.33; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00066,pi-acp-agent,acp.transport.stdio,supported,registry-listed,adapter,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00067,poolside-acp-agent,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 1.0.16; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00068,poolside-acp-agent,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00069,qoder-cli,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 0.2.14; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00070,qoder-cli,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00071,qwen-code-cli,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 0.22.2; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00072,qwen-code-cli,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00073,sigit-acp-agent,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 1.5.2; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00074,sigit-acp-agent,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00075,stakpak-acp-agent,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 0.3.88; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00076,stakpak-acp-agent,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00077,vt-code-acp-agent,acp.agent,supported,registry-listed,native,ga,medium,default,"Official ACP Registry 0.96.14; registry proves the agent role, not every optional ACP method.",S-001,2026-08-28,
ASRT-00078,vt-code-acp-agent,acp.transport.stdio,supported,registry-listed,native,ga,medium,default,Registry-distributed ACP agent launcher; exact optional capabilities remain unknown.,S-001,2026-08-28,
ASRT-00079,vscode-agent-host,agent-plugins.core,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for VS Code; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00080,vscode-agent-host,agent-plugins.skills,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for VS Code; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00081,vscode-agent-host,agent-plugins.mcp,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for VS Code; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00082,vscode-agent-host,agent-skills.core,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for VS Code; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00083,vscode-agent-host,mcp.transport.stdio,supported,registry-listed,native,ga,medium,default,Transport listed by the Agent Plugins compatible-client page.,S-002,2026-08-28,
ASRT-00084,vscode-agent-host,mcp.transport.streamable-http,supported,registry-listed,native,ga,medium,default,Transport listed by the Agent Plugins compatible-client page.,S-002,2026-08-28,
ASRT-00085,vscode-agent-host,mcp.transport.legacy-sse,supported,registry-listed,native,ga,medium,default,Transport listed by the Agent Plugins compatible-client page.,S-002,2026-08-28,
ASRT-00086,cursor-editor,agent-plugins.core,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for Cursor; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00087,cursor-editor,agent-plugins.skills,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for Cursor; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00088,cursor-editor,agent-plugins.mcp,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for Cursor; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00089,cursor-editor,agent-skills.core,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for Cursor; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00090,cursor-editor,mcp.transport.stdio,supported,registry-listed,native,ga,medium,default,Transport listed by the Agent Plugins compatible-client page.,S-002,2026-08-28,
ASRT-00091,cursor-editor,mcp.transport.streamable-http,supported,registry-listed,native,ga,medium,default,Transport listed by the Agent Plugins compatible-client page.,S-002,2026-08-28,
ASRT-00092,cursor-editor,mcp.transport.legacy-sse,supported,registry-listed,native,ga,medium,default,Transport listed by the Agent Plugins compatible-client page.,S-002,2026-08-28,
ASRT-00093,copilot-vscode,agent-plugins.core,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for GitHub Copilot; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00094,copilot-vscode,agent-plugins.skills,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for GitHub Copilot; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00095,copilot-vscode,agent-plugins.mcp,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for GitHub Copilot; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00096,copilot-vscode,agent-skills.core,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for GitHub Copilot; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00097,copilot-vscode,mcp.transport.stdio,supported,registry-listed,native,ga,medium,default,Transport listed by the Agent Plugins compatible-client page.,S-002,2026-08-28,
ASRT-00098,copilot-vscode,mcp.transport.streamable-http,supported,registry-listed,native,ga,medium,default,Transport listed by the Agent Plugins compatible-client page.,S-002,2026-08-28,
ASRT-00099,copilot-vscode,mcp.transport.legacy-sse,supported,registry-listed,native,ga,medium,default,Transport listed by the Agent Plugins compatible-client page.,S-002,2026-08-28,
ASRT-00100,codex-cli,agent-plugins.core,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for ChatGPT & Codex; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00101,codex-cli,agent-plugins.skills,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for ChatGPT & Codex; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00102,codex-cli,agent-plugins.mcp,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for ChatGPT & Codex; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00103,codex-cli,agent-skills.core,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for ChatGPT & Codex; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00104,codex-cli,mcp.transport.stdio,supported,registry-listed,native,ga,medium,default,Transport listed by the Agent Plugins compatible-client page.,S-002,2026-08-28,
ASRT-00105,codex-cli,mcp.transport.streamable-http,supported,registry-listed,native,ga,medium,default,Transport listed by the Agent Plugins compatible-client page.,S-002,2026-08-28,
ASRT-00106,kiro-ide,agent-plugins.core,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for Kiro; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00107,kiro-ide,agent-plugins.skills,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for Kiro; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00108,kiro-ide,agent-plugins.mcp,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for Kiro; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00109,kiro-ide,agent-skills.core,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for Kiro; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00110,kiro-ide,mcp.transport.stdio,supported,registry-listed,native,ga,medium,default,Transport listed by the Agent Plugins compatible-client page.,S-002,2026-08-28,
ASRT-00111,kiro-ide,mcp.transport.streamable-http,supported,registry-listed,native,ga,medium,default,Transport listed by the Agent Plugins compatible-client page.,S-002,2026-08-28,
ASRT-00112,kiro-ide,mcp.transport.legacy-sse,supported,registry-listed,native,ga,medium,default,Transport listed by the Agent Plugins compatible-client page.,S-002,2026-08-28,
ASRT-00113,hermes-core,agent-plugins.core,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for Hermes Agent; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00114,hermes-core,agent-plugins.skills,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for Hermes Agent; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00115,hermes-core,agent-plugins.mcp,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for Hermes Agent; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00116,hermes-core,agent-skills.core,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for Hermes Agent; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00117,hermes-core,mcp.transport.stdio,supported,registry-listed,native,ga,medium,default,Transport listed by the Agent Plugins compatible-client page.,S-002,2026-08-28,
ASRT-00118,hermes-core,mcp.transport.streamable-http,supported,registry-listed,native,ga,medium,default,Transport listed by the Agent Plugins compatible-client page.,S-002,2026-08-28,
ASRT-00119,openclaw-core,agent-plugins.core,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for OpenClaw; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00120,openclaw-core,agent-plugins.skills,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for OpenClaw; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00121,openclaw-core,agent-plugins.mcp,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for OpenClaw; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00122,openclaw-core,agent-skills.core,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for OpenClaw; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00123,openclaw-core,mcp.transport.stdio,supported,registry-listed,native,ga,medium,default,Transport listed by the Agent Plugins compatible-client page.,S-002,2026-08-28,
ASRT-00124,openclaw-core,mcp.transport.streamable-http,supported,registry-listed,native,ga,medium,default,Transport listed by the Agent Plugins compatible-client page.,S-002,2026-08-28,
ASRT-00125,openclaw-core,mcp.transport.legacy-sse,supported,registry-listed,native,ga,medium,default,Transport listed by the Agent Plugins compatible-client page.,S-002,2026-08-28,
ASRT-00126,grok-bot-cloud,agent-plugins.core,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for Grok Bot; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00127,grok-bot-cloud,agent-plugins.skills,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for Grok Bot; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00128,grok-bot-cloud,agent-plugins.mcp,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for Grok Bot; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00129,grok-bot-cloud,agent-skills.core,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for Grok Bot; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00130,grok-bot-cloud,mcp.transport.stdio,supported,registry-listed,native,ga,medium,default,Transport listed by the Agent Plugins compatible-client page.,S-002,2026-08-28,
ASRT-00131,grok-bot-cloud,mcp.transport.streamable-http,supported,registry-listed,native,ga,medium,default,Transport listed by the Agent Plugins compatible-client page.,S-002,2026-08-28,
ASRT-00132,grok-bot-cloud,mcp.transport.legacy-sse,supported,registry-listed,native,ga,medium,default,Transport listed by the Agent Plugins compatible-client page.,S-002,2026-08-28,
ASRT-00133,nanoclaw-agent,agent-plugins.core,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for NanoClaw; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00134,nanoclaw-agent,agent-plugins.skills,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for NanoClaw; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00135,nanoclaw-agent,agent-plugins.mcp,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for NanoClaw; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00136,nanoclaw-agent,agent-skills.core,supported,registry-listed,native,ga,medium,default,Official Agent Plugins compatible-client listing for NanoClaw; exact surface behavior is refined by first-party docs where available.,S-002;S-003;S-004,2026-08-28,
ASRT-00137,nanoclaw-agent,mcp.transport.stdio,supported,registry-listed,native,ga,medium,default,Transport listed by the Agent Plugins compatible-client page.,S-002,2026-08-28,
ASRT-00138,nanoclaw-agent,mcp.transport.streamable-http,supported,registry-listed,native,ga,medium,default,Transport listed by the Agent Plugins compatible-client page.,S-002,2026-08-28,
ASRT-00139,claude-code-cli,mcp.client,supported,documented,native,ga,high,default,,S-010,2026-08-28,
ASRT-00140,claude-code-cli,mcp.tools,supported,documented,native,ga,high,default,,S-010,2026-08-28,
ASRT-00141,claude-code-cli,mcp.resources,supported,documented,native,ga,high,default,,S-010,2026-08-28,
ASRT-00142,claude-code-cli,mcp.prompts,supported,documented,native,ga,high,default,,S-010,2026-08-28,
ASRT-00143,claude-code-cli,mcp.transport.stdio,supported,documented,native,ga,high,default,,S-010,2026-08-28,
ASRT-00144,claude-code-cli,mcp.transport.streamable-http,supported,documented,native,ga,high,default,,S-010,2026-08-28,
ASRT-00145,claude-code-cli,mcp.transport.legacy-sse,supported,documented,native,ga,high,default,,S-010,2026-08-28,
ASRT-00146,claude-code-cli,mcp.auth.oauth,supported,documented,native,ga,high,default,,S-010,2026-08-28,
ASRT-00147,claude-code-cli,mcp.roots,supported,documented,native,ga,high,default,,S-010,2026-08-28,
ASRT-00148,claude-code-cli,mcp.elicitation,supported,documented,native,ga,high,default,,S-010,2026-08-28,
ASRT-00149,claude-code-cli,mcp.list-changed,supported,documented,native,ga,high,default,,S-010,2026-08-28,
ASRT-00150,claude-code-cli,mcp.transport.websocket-extension,supported,documented,extension,ga,high,default,Claude-specific WebSocket extension; not MCP core transport.,S-010,2026-08-28,
ASRT-00151,claude-code-cli,mcp.revision.2026-07-28,partial,documented+reported,native,ga,mixed,"Claude Code 2.1.232+, direct provider, negotiation enabled","New runtime can negotiate 2026-07-28, but provider/gateway/feature-flag conditions and a reported validation bug limit universal claims.",S-010;S-015,2026-08-28,
ASRT-00152,claude-code-cli,mcp.server,supported,documented,native,ga,high,default,Claude Code can expose an MCP server surface through its documented serve mode.,S-010,2026-08-28,
ASRT-00153,claude-code-cli,agent-skills.core,supported,documented,native,ga,high,default,,S-011;S-012;S-013;S-014,2026-08-28,
ASRT-00154,claude-code-cli,agent-skills.scripts-assets,supported,documented,native,ga,high,default,,S-011;S-012;S-013;S-014,2026-08-28,
